"","coeff"
"factor(sample.precip.zip$zipcodes)11219",-0.732164893810279
"factor(sample.precip.zip$zipcodes)11220",-0.0231309930207264
"factor(sample.precip.zip$zipcodes)11221",-0.681337160863196
"factor(sample.precip.zip$zipcodes)11222",-0.694505687174829
"factor(sample.precip.zip$zipcodes)11223",-2.4628575454527
"factor(sample.precip.zip$zipcodes)11224",2.45989364855685
"factor(sample.precip.zip$zipcodes)11225",-0.66565869371191
"factor(sample.precip.zip$zipcodes)11226",-0.616497779231791
"factor(sample.precip.zip$zipcodes)11228",-2.38496731192705
"factor(sample.precip.zip$zipcodes)11229",0.546417991357613
"factor(sample.precip.zip$zipcodes)11230",-0.833344716440731
"factor(sample.precip.zip$zipcodes)11231",-0.409719565608584
"factor(sample.precip.zip$zipcodes)11232",-0.341513287853192
"factor(sample.precip.zip$zipcodes)11233",-1.50149170571562
"factor(sample.precip.zip$zipcodes)11234",-0.0843344737625138
"factor(sample.precip.zip$zipcodes)11235",-1.52308766071846
"factor(sample.precip.zip$zipcodes)11236",-1.27845951754904
"factor(sample.precip.zip$zipcodes)11237",-0.688157211674034
"factor(sample.precip.zip$zipcodes)11238",-0.462787014307346
"factor(sample.precip.zip$zipcodes)11286",2.12845844222096
"factor(sample.precip.zip$zipcodes)11302",1.8078032946427
"factor(sample.precip.zip$zipcodes)11354",-0.526203987768648
"factor(sample.precip.zip$zipcodes)11355",0.0213899894267487
"factor(sample.precip.zip$zipcodes)11356",-1.474967311927
"factor(sample.precip.zip$zipcodes)11361",-3.63219670535704
"factor(sample.precip.zip$zipcodes)11364",-2.03219670535707
"factor(sample.precip.zip$zipcodes)11365",-2.39074777897855
"factor(sample.precip.zip$zipcodes)11367",0.0749741444668604
"factor(sample.precip.zip$zipcodes)11368",-0.820506974521037
"factor(sample.precip.zip$zipcodes)11369",-0.597010376910464
"factor(sample.precip.zip$zipcodes)11370",-1.91536174899082
"factor(sample.precip.zip$zipcodes)11371",0.42780329464281
"factor(sample.precip.zip$zipcodes)11372",-1.3492855479691
"factor(sample.precip.zip$zipcodes)11373",-0.878743668031302
"factor(sample.precip.zip$zipcodes)11374",-0.753830746060935
"factor(sample.precip.zip$zipcodes)11375",-0.948842512185532
"factor(sample.precip.zip$zipcodes)11377",-1.09399252158473
"factor(sample.precip.zip$zipcodes)11378",-1.04732734952995
"factor(sample.precip.zip$zipcodes)11379",-2.77074777897861
"factor(sample.precip.zip$zipcodes)11385",0.152408314431712
"factor(sample.precip.zip$zipcodes)11412",-2.89074777897855
"factor(sample.precip.zip$zipcodes)11415",-0.643280546090892
"factor(sample.precip.zip$zipcodes)11416",5.84925222102097
"factor(sample.precip.zip$zipcodes)11417",2.04067265047006
"factor(sample.precip.zip$zipcodes)11418",2.77380912121386
"factor(sample.precip.zip$zipcodes)11419",-3.59074777897824
"factor(sample.precip.zip$zipcodes)11420",-3.59074777897856
"factor(sample.precip.zip$zipcodes)11421",-0.931110010573327
"factor(sample.precip.zip$zipcodes)11422",7.47925222102209
"factor(sample.precip.zip$zipcodes)11423",1.6730659900704
"factor(sample.precip.zip$zipcodes)11427",-0.160747778978594
"factor(sample.precip.zip$zipcodes)11429",-3.58074777897894
"factor(sample.precip.zip$zipcodes)11430",4.3704083144321
"factor(sample.precip.zip$zipcodes)11431",-3.54074777897908
"factor(sample.precip.zip$zipcodes)11432",-1.27990511166832
"factor(sample.precip.zip$zipcodes)11433",-0.631472242167845
"factor(sample.precip.zip$zipcodes)11434",-0.640747778978588
"factor(sample.precip.zip$zipcodes)11435",-0.0892189108760221
"factor(sample.precip.zip$zipcodes)11514",8.44641799135746
"factor(sample.precip.zip$zipcodes)11517",-0.346058589610964
"factor(sample.precip.zip$zipcodes)11762",-2.8907477789785
"factor(sample.precip.zip$zipcodes)11954",-1.86673734012927
"factor(sample.precip.zip$zipcodes)14736",-1.89074777897949
